song title,artist/band name,year,lyrics url
Quel Signore Del Piano Di Sopra (Versione In Lingua Italiana),"Celentano, Adriano",1972,https://www.azlyrics.com/lyrics/adrianocelentano/quelsignoredelpianodisopraversioneinlinguaitaliana.html
Brainwashed,"Kinks, The",1972,https://www.azlyrics.com/lyrics/kinks/brainwashed.html
Flying Easy,"Hathaway, Donny",1973,https://www.azlyrics.com/lyrics/donnyhathaway/flyingeasy.html
If You've Got Love,Dave Mason,1973,https://www.azlyrics.com/lyrics/davemason/ifyouvegotlove.html
Don't Forget The Coffee Billy Joe,Tom T. Hall,1973,https://www.azlyrics.com/lyrics/tomthall/dontforgetthecoffeebillyjoe.html
Done Me Wrong All Right,Sweet,1973,https://www.azlyrics.com/lyrics/sweet/donemewrongallright.html
Worse Comes To Worst,Billy Joel,1973,https://www.azlyrics.com/lyrics/billyjoel/worsecomestoworst.html
A Sad Country Song,David Allan Coe,1974,https://www.azlyrics.com/lyrics/davidallancoe/asadcountrysong.html
Esta Noche Voy A Verla,"Gabriel, Juan",1974,https://www.azlyrics.com/lyrics/juangabriel/estanochevoyaverla.html
Rings,Lobo,1974,https://www.azlyrics.com/lyrics/lobo/rings.html
Cosmik Debris,Frank Zappa,1974,https://www.azlyrics.com/lyrics/frankzappa/cosmikdebris.html
Being Green,"Ross, Diana",1974,https://www.azlyrics.com/lyrics/dianaross/beinggreen.html
Someday,"Gilley, Mickey",1974,https://www.azlyrics.com/lyrics/mickeygilley/someday.html
N.Y. Stars,Lou Reed,1974,https://www.azlyrics.com/lyrics/loureed/nystars.html
Come Monday,Jimmy Buffett,1974,https://www.azlyrics.com/lyrics/jimmybuffett/comemonday.html
Silver Words,"Brown, Dennis",1974,https://www.azlyrics.com/lyrics/dennisbrown/silverwords.html
The Coldest Night,Smokie,1975,https://www.azlyrics.com/lyrics/smokie/thecoldestnight.html
Love Serenade,Barry White,1975,https://www.azlyrics.com/lyrics/barrywhite/loveserenade.html
Myth Of Sisyphus,Stephen Stills,1975,https://www.azlyrics.com/lyrics/stephenstills/mythofsisyphus.html
St. Elmo's Fire,Brian Eno,1975,https://www.azlyrics.com/lyrics/brianeno/stelmosfire.html
One Of These Days,Tammy Wynette,1976,https://www.azlyrics.com/lyrics/tammywynette/oneofthesedays.html
In My Heart,"Whispers, The",1976,https://www.azlyrics.com/lyrics/whispers/inmyheart.html
Party Night,Curtis Mayfield,1976,https://www.azlyrics.com/lyrics/curtismayfield/partynight.html
Run And Hide,David Cassidy,1976,https://www.azlyrics.com/lyrics/davidcassidy/runandhide.html
Virginia's Reel,"Clark, Guy",1976,https://www.azlyrics.com/lyrics/guyclark/virginiasreel.html
Pure Gold,Ringo Starr,1976,https://www.azlyrics.com/lyrics/ringostarr/puregold.html
Why Do Lovers Break Each Other's Hearts?,Hall & Oates,1977,https://www.azlyrics.com/lyrics/halloates/whydoloversbreakeachothershearts.html
Only The Good Die Young,Billy Joel,1977,https://www.azlyrics.com/lyrics/billyjoel/onlythegooddieyoung.html
Put The Word Out,Heatwave,1977,https://www.azlyrics.com/lyrics/heatwave/putthewordout.html
Gypsy Boy,Billy Joe Shaver,1977,https://www.azlyrics.com/lyrics/billyjoeshaver/gypsyboy.html
What's Next To The Moon,AC/DC,1978,https://www.azlyrics.com/lyrics/acdc/whatsnexttothemoon.html
The Fire,Television,1978,https://www.azlyrics.com/lyrics/television/thefire.html
Let's Get Crazy Tonight,Rupert Holmes,1978,https://www.azlyrics.com/lyrics/rupertholmes/letsgetcrazytonight.html
Presbyterian Boy,Tom Paxton,1978,https://www.azlyrics.com/lyrics/tompaxton/presbyterianboy.html
The Clown,BZN,1978,https://www.azlyrics.com/lyrics/bzn/theclown.html
Winter Song,Tom Paxton,1978,https://www.azlyrics.com/lyrics/tompaxton/wintersong.html
Standing In Your Doorway,"Rea, Chris",1978,https://www.azlyrics.com/lyrics/chrisrea/standinginyourdoorway.html
Just The Wine,Heart,1978,https://www.azlyrics.com/lyrics/heart/justthewine.html
Bars Shouldn't Have Mirrors,"LeDoux, Chris",1978,https://www.azlyrics.com/lyrics/chrisledoux/barsshouldnthavemirrors.html
So You Wanted To See The Wizard,Diana Ross,1978,https://www.azlyrics.com/lyrics/dianaross/soyouwantedtoseethewizard.html
Too Deep For Tears,"Gayle, Crystal",1979,https://www.azlyrics.com/lyrics/crystalgayle/toodeepfortears.html
Pisty,Tom T. Hall,1979,https://www.azlyrics.com/lyrics/tomthall/pisty.html
I Never Thought,"Berry, Chuck",1979,https://www.azlyrics.com/lyrics/chuckberry/ineverthought.html
Gas Line Romance,Tom Paxton,1980,https://www.azlyrics.com/lyrics/tompaxton/gaslineromance.html
Out Of Control,U2,1980,https://www.azlyrics.com/lyrics/u2band/outofcontrol.html
Goodbye Little Columbus,"Rea, Chris",1981,https://www.azlyrics.com/lyrics/chrisrea/goodbyelittlecolumbus.html
Trouble,Bob Dylan,1981,https://www.azlyrics.com/lyrics/bobdylan/trouble.html
She's A Super Lady,"Vandross, Luther",1981,https://www.azlyrics.com/lyrics/luthervandross/shesasuperlady.html
"Do You Love Me Truly, Julie?",Pure Prairie League,1981,https://www.azlyrics.com/lyrics/pureprairieleague/doyoulovemetrulyjulie.html
Together Alone,"Jones, George",1981,https://www.azlyrics.com/lyrics/georgejones/togetheralone.html
Don't You Go,"Martyn, John",1981,https://www.azlyrics.com/lyrics/johnmartyn/dontyougo.html
Time's Up,Saga,1981,https://www.azlyrics.com/lyrics/saga/timesup.html
On The Boulevard,"Manhattan Transfer, The",1981,https://www.azlyrics.com/lyrics/manhattantransfer/ontheboulevard.html
Last Train To San Antone,Peter Green,1981,https://www.azlyrics.com/lyrics/petergreen/lasttraintosanantone.html
Don't Throw It All Away,Stacy Lattisaw,1982,https://www.azlyrics.com/lyrics/stacylattisaw/dontthrowitallaway.html
Maman,Michel Sardou,1982,https://www.azlyrics.com/lyrics/michelsardou/maman.html
Last Rites,Tom Robinson,1982,https://www.azlyrics.com/lyrics/tomrobinson/lastrites.html
Silence And I,"Alan Parsons Project, The",1982,https://www.azlyrics.com/lyrics/alanparsonsproject/silenceandi.html
Rose,Conway Twitty,1982,https://www.azlyrics.com/lyrics/conwaytwitty/rose.html
The Clown,"Green, Peter",1982,https://www.azlyrics.com/lyrics/petergreen/theclown.html
Children Of The Universe,John Denver,1982,https://www.azlyrics.com/lyrics/johndenver/childrenoftheuniverse.html
The Sun Goes Down (Living It Up),Level 42,1983,https://www.azlyrics.com/lyrics/level42/thesungoesdownlivingitup.html
Querida,"Serrat, Joan Manuel",1983,https://www.azlyrics.com/lyrics/joanmanuelserrat/querida.html
Eggheart,Hunters & Collectors,1983,https://www.azlyrics.com/lyrics/hunterscollectors/eggheart.html
Gimme Some Money,Spinal Tap,1984,https://www.azlyrics.com/lyrics/spinaltap/gimmesomemoney.html
